title,artist_name,danceability,duration,song_hotttnesss,tempo,year
"b""I Didn't Mean To""",b'Casual',0.0,218.93179,0.6021199899057548,92.198,0
b'Soul Deep',b'The Box Tops',0.0,148.03546,nan,121.274,1969
b'Amor De Cabaret',b'Sonora Santanera',0.0,177.47546,nan,100.07,0
b'Something Girls',b'Adam Ant',0.0,233.40363,nan,119.293,1982
b'Face the Ashes',b'Gob',0.0,209.60608,0.6045007385888197,129.738,2007
b'The Moon And I (Ordinary Day Album Version)',b'Jeff And Sheri Easter',0.0,267.7024,nan,147.782,0
b'Keepin It Real (Skit)',b'Rated R',0.0,114.78159,nan,111.787,0
b'Drop of Rain',b'Tweeterfriendly Music',0.0,189.57016,nan,101.43,0
b'Pink World',b'Planet P Project',0.0,269.81832,0.26586104921065007,86.643,1984
b'Insatiable (Instrumental Version)',b'Clp',0.0,266.39628,nan,114.041,0
b'Young Boy Blues',b'JennyAnyKind',0.0,218.77506,0.0,146.765,0
